name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Des Moines,2024-03-17,3.6,-3.1,0.4,-0.3,-8.7,-5.1,-9.2,49.2,0,0,0,,0,0,57.9,38.5,322.6,1019,50.4,16,117.8,10.3,5,10,2024-03-17T07:21:49,2024-03-17T19:24:06,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDSM,72546014933,72546604938,KIKV,99999954902,C0005"
Des Moines,2024-03-18,2.6,-6.5,-2.4,-1.4,-13.4,-8.1,-12.6,46.7,0,0,0,,0,0,42.5,25.9,300.9,1024.4,34.9,16,185.7,16.1,8,10,2024-03-18T07:20:07,2024-03-18T19:25:13,0.28,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDSM,72546014933,72546604938,KIKV,99999954902,C0005"
Des Moines,2024-03-19,18.6,-0.7,9,18.6,-6,6.8,-5.6,36.4,0,0,0,,0,0,51,30.9,289.9,1011.3,18,15.9,176.5,15.3,8,10,2024-03-19T07:18:25,2024-03-19T19:26:19,0.31,Clear,Clear conditions throughout the day.,clear-day,"KDSM,72546014933,72546604938,KIKV,99999954902,C0005"
Des Moines,2024-03-20,7.7,-0.3,3.3,5.7,-6.2,-0.6,-13.3,29.4,0,0,0,,0,0,46.4,24.9,359.5,1020.6,55.3,16,201.6,17.4,8,10,2024-03-20T07:16:44,2024-03-20T19:27:26,0.35,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KDSM,72546014933,72546604938,KIKV,99999954902,C0005"
Des Moines,2024-03-21,10.1,-2,4,10.1,-6.4,0.7,-10.6,35.3,0,0,0,,0,0,36.1,25.2,94,1021.8,63.5,15.9,154.4,13.1,8,10,2024-03-21T07:15:02,2024-03-21T19:28:32,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDSM,KAMW,72546014933,72546604938,F8044,KIKV,99999954902,C0005"
Des Moines,2024-03-22,6.9,-2,2,4.5,-6.3,-2.3,-3.4,70.6,9.422,100,12.5,"rain,snow",1.5,0.3,40.7,26.5,21.1,1020.3,94.7,12.9,48.1,4.2,3,10,2024-03-22T07:13:20,2024-03-22T19:29:38,0.41,"Snow, Rain, Overcast",Cloudy skies throughout the day with morning rain or snow.,snow,"KDSM,72546014933,72546604938,KIKV,99999954902,C0005"
Des Moines,2024-03-23,3.3,-5.5,-0.5,-0.1,-10,-4.7,-6.8,63.5,0,0,0,,0,0,38.7,24.3,79.5,1025.7,52.6,15.9,109.8,9.5,6,10,2024-03-23T07:11:37,2024-03-23T19:30:44,0.45,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KDSM,72546014933,72546604938,KIKV,99999954902,C0005"
Des Moines,2024-03-24,9.7,0.8,4.5,8.1,-3.6,0.7,1.1,79.2,13.313,100,33.33,rain,0.8,0,48.2,25.2,105.3,1008.7,91.6,14.3,23.5,1.9,1,10,2024-03-24T07:09:55,2024-03-24T19:31:50,0.48,"Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"KDSM,72546014933,72546604938,KIKV,99999954902,C0005"
Des Moines,2024-03-25,16.9,9.3,12.4,16.9,6,11.8,6.4,67.8,2.03,100,8.33,rain,0,0,50,26.8,147,996.5,90,15.9,63.3,5.5,3,10,2024-03-25T07:08:13,2024-03-25T19:32:56,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"KDSM,72546014933,72546604938,KIKV,99999954902,C0005"
Des Moines,2024-03-26,11.1,-2.4,1.3,11.1,-9.9,-4.7,-2,78.8,15.961,100,20.83,rain,0,0,59.1,40,300.2,1002.8,99.1,14.8,66.1,5.8,3,10,2024-03-26T07:06:32,2024-03-26T19:34:02,0.55,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"KDSM,72546014933,72546604938,KIKV,99999954902,C0005"
Des Moines,2024-03-27,6.3,-3.5,0.5,2.6,-10,-4.6,-8.6,52.6,0,0,0,,0,0,48.6,34.1,279,1019.8,57.1,16,186.7,16,8,10,2024-03-27T07:04:50,2024-03-27T19:35:08,0.58,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KDSM,72546014933,72546604938,KIKV,99999954902,C0005"
Des Moines,2024-03-28,13.6,-1.6,5.7,13.6,-4,4.3,-2.9,55.5,0,0,0,,0,0,22.3,15.9,78.7,1018.5,40.6,15.8,175.6,15.2,9,10,2024-03-28T07:03:08,2024-03-28T19:36:13,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDSM,72546014933,72546604938,KIKV,99999954902,C0005"
Des Moines,2024-03-29,20,4.3,11.9,20,0.9,10.4,2.9,54.9,0,0,0,,0,0,46.4,29.4,117.2,1010,76.5,15.8,124.8,10.9,5,10,2024-03-29T07:01:27,2024-03-29T19:37:19,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDSM,72546014933,72546604938,KIKV,99999954902,C0005"
Des Moines,2024-03-30,15.5,4.5,10.7,15.5,-0.1,9.3,1.8,57.4,0,0,0,,0,0,42.5,25.3,337.9,1011.7,46.8,15.8,187,16.2,9,10,2024-03-30T06:59:45,2024-03-30T19:38:25,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDSM,KAMW,72546014933,72546604938,KIKV,99999954902,C0005"
Des Moines,2024-03-31,14.8,5,9.6,14.8,2.1,8,3.8,67.8,0.543,100,8.33,rain,0,0,46.4,23.6,53.5,1010.9,87.2,15.4,73.3,6.4,5,10,2024-03-31T06:58:04,2024-03-31T19:39:30,0.72,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KDSM,72546014933,72546604938,KIKV,99999954902,C0005"
Des Moines,2024-04-01,8.6,5.8,7.7,5.8,1.8,4.3,6.3,91.1,1.444,100,37.5,rain,0,0,41,27.9,69.9,1006.9,99.1,9.6,31,2.7,1,10,2024-04-01T06:56:24,2024-04-01T19:40:35,0.75,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KDSM,KAMW,72546014933,72546604938,KIKV,99999954902,C0005"
Des Moines,2024-04-02,9.5,1.5,5.2,5.6,-3.9,1,2.2,82.3,5.021,100,41.67,"rain,snow",0,0,64.7,35.5,343.7,1005.6,86.4,10,70.5,6.2,4,10,2024-04-02T06:54:43,2024-04-02T19:41:41,0.79,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,"KDSM,72546014933,72546604938,KIKV,99999954902,C0005"
Des Moines,2024-04-03,11.9,2.1,6.6,11.9,-3.8,2.8,-2.3,55.9,0,0,0,,0,0,82.2,52.6,325.4,1005.2,65.4,15.7,183.8,15.9,8,10,2024-04-03T06:53:03,2024-04-03T19:42:46,0.83,Partially cloudy,Partly cloudy throughout the day.,wind,"KDSM,72546014933,72546604938,KIKV,99999954902,C0005"
Des Moines,2024-04-04,13.7,-0.5,6.5,13.7,-5.5,4.2,-3.2,51.3,0,0,0,,0,0,46.9,26.2,351.8,1012.4,20.9,15.9,162.5,13.9,10,10,2024-04-04T06:51:23,2024-04-04T19:43:52,0.86,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KDSM,72546014933,72546604938,KIKV,99999954902,C0005"
