name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Lubbock,2024-02-17,2.2,-3.3,-1.6,-1.3,-10.3,-6.7,-6.8,68.5,0,0,0,,0,0,42.5,27.7,43.5,1027.3,78.5,16,83.9,7.3,3,10,2024-02-17T07:29:52,2024-02-17T18:33:27,0.27,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KLBB,KPVW,72267023042,72217423097,E3644"
Lubbock,2024-02-18,11.7,-6.2,2.8,11.7,-11.9,-0.4,-4.7,61.6,0,0,0,,0,0,38.9,27.6,230.4,1020.8,36.3,16,211.6,18.4,8,10,2024-02-18T07:28:49,2024-02-18T18:34:21,0.3,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KLBB,KPVW,72267023042,72217423097,E3644"
Lubbock,2024-02-19,22.8,0,11.2,22.8,-4.4,9.5,-4.6,40.9,0,0,0,,0,0,31.5,25.8,273.6,1015.7,34.5,16,222.3,19.2,8,10,2024-02-19T07:27:45,2024-02-19T18:35:15,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KLBB,KPVW,72267023042,72217423097,E3644"
Lubbock,2024-02-20,26.7,3.3,14.8,26.1,-0.3,13.6,-5.3,31,0,0,0,,0,0,53,38.8,253.7,1017.1,63.9,16,212.5,18.3,8,10,2024-02-20T07:26:40,2024-02-20T18:36:08,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KLBB,KPVW,72267023042,72217423097,E3644"
Lubbock,2024-02-21,28.8,0.6,15.2,27.2,-3.3,13.5,-6.7,28.8,0,0,0,,0,0,64.5,48.1,237.8,1012.1,36.8,15.8,211.3,18.4,8,10,2024-02-21T07:25:33,2024-02-21T18:37:01,0.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KLBB,KPVW,72267023042,72217423097,E3644"
Lubbock,2024-02-22,21.1,5,12.2,21.1,1.5,10.6,-3.4,35.2,0,0,0,,0,0,49.9,33.5,336.7,1012.1,14.3,16,224.6,19.5,8,10,2024-02-22T07:24:26,2024-02-22T18:37:53,0.44,Clear,Clear conditions throughout the day.,clear-day,"KLBB,KPVW,72267023042,72217423097,E3644"
Lubbock,2024-02-23,18.3,1.7,9.9,18.3,-1.6,8.6,-2.1,47.4,0,0,0,,0,0,25.9,16.6,332.4,1019.5,48.2,16,225.9,19.5,8,10,2024-02-23T07:23:18,2024-02-23T18:38:46,0.47,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KLBB,KPVW,72267023042,72217423097,E3644"
Lubbock,2024-02-24,22.8,2.8,12.9,22.8,0.3,12.2,-0.8,43.7,0,0,0,,0,0,54.1,37.1,226.7,1017.3,29.9,16,224.9,19.5,8,10,2024-02-24T07:22:09,2024-02-24T18:39:37,0.5,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KLBB,KPVW,72267023042,72217423097,E3644"
Lubbock,2024-02-25,28.3,6.7,17.9,26.8,3.8,16.9,-4.2,26.1,0,0,0,,0,0,65.7,46.3,279.3,1011.5,54.8,15.8,225.3,19.5,8,10,2024-02-25T07:20:59,2024-02-25T18:40:29,0.54,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KLBB,KPVW,72267023042,72217423097,E3644"
Lubbock,2024-02-26,30,7.2,19.8,28.1,4.8,19,0,29.2,0,0,0,,0,0,80.3,57.4,260,1008.7,68.3,15.7,211.5,18.4,8,10,2024-02-26T07:19:49,2024-02-26T18:41:20,0.58,Partially cloudy,Partly cloudy throughout the day.,wind,"KLBB,KPVW,72267023042,72217423097,E3644"
